"小悪魔A","Imp A"
"貴方のそんな反応を見ためどサキュバスは、
くすりと笑みを浮かべ、肉棒を握った手を上下に動かす。
自分で動かしたときとはまた違う感覚に、
貴方の身体は震えてしまった。",""
"<メイドサキュバスA>
『貴方は甘いおっぱいを、
　ちゅうちゅうするのに集中してくださいね♡
　ママが気持ちよくして差し上げますから。』",""
"<メイドサキュバスA>
『ちゃんと自分からママの元に戻ってこれて、
　おちんちんでごめんなさい出来て偉かったですね。
　ご褒美のなでなでですよ♡』",""
"苦しさのない、
むしろおっぱいの甘さを存分に感じる快楽に、
貴方の脳内はすぐに白く染まってしまう。
まるで心そのものが彼女に甘く溶かされてしまうようだった。",""
"<メイドサキュバスA>
『こうしておちんちんをなでなでされるの、
　気持ちいいですよね？
　家出なんてしなければ毎日こうしてあげますから。』",""
"<メイドサキュバスA>
『確かに毎日の労働は大変かもしれませんが、
　このご褒美のためと思えば、貴方も頑張れますよね？
　貴方に自由など必要ありません♡』",""
"<メイドサキュバスA>
『貴方はただ、私のために……
　ママのために毎日を過ごせばいいのです。
　そうすればこうして気持ちよくなれるのですから。』",""
"メイドサキュバスの甘い声が貴方の頭に響く。
この声に従ってはダメだ、
その考えもおっぱいに溶かされ、
心が快楽に染められていってしまう。",""
"<メイドサキュバスA>
『分かりましたね？
　それではこのままもう一度、
　精液を出してしまいましょうか。』",""
"<メイドサキュバスA>
『ママのおっぱいによるご褒美の快楽…
　しっかりとおちんちんで覚えて、
　もう2度と逆らえないよう心まで堕ちてください。』",""
"<メイドサキュバスA>
『貴方の自由も、反抗的な考えも、
　すべて私の手で搾りだしてあげますからね♡』",""
"メイドサキュバスはそう言いながら、
手の上下運動を激しくしていく。
その精液を搾りだすような動きに、
貴方はあっという間にイきそうになってしまった。",""
"<メイドサキュバスA>
『おちんちんが嬉しそうに震えていますね。
　もう、ご褒美に耐えられそうもありませんか？
　いいのですよ、堕ちてしまっても。』",""
"<メイドサキュバスA>
『ほら、我慢なんてせず……
　ママのおっぱいを吸いながら、
　情けなくイってしまってください♡』",""
"<メイドサキュバスA>
『ふふ♡たくさん出せましたね。
　……お顔もすっかりとろけてしまって。
　脱走の鎮圧もこれで完了です。』",""
"<メイドサキュバスA>
『無駄な努力をお疲れ様でした。
　これからはママのために、
　まじめに家畜として頑張ってください♡』",""
"そんなメイドサキュバスの声を聴きながら、
貴方はゆっくりと眠りに落ちていく。
もう彼女に逆らう心は全てとかされてしまい、
逃げ出そうと思うことはできなかった。",""
"それからは毎日、
ただメイドサキュバスから与えられる快楽のためだけに、
貴方は広場で戦い続ける。",""
"貴方はもう、
大量の経験値を稼いで彼女に褒めてもらうことしか、
考えられなくなってしまっていた。",""
"”3層にてメイドサキュバスBと戦う”","Fight Maid Succubus B on the third floor."
"メイドサキュバスBと戦闘を行いますか？","Fight Maid Succubus B?"
"<メイドサキュバスB>
『これで私の勝ち～っと♡
　じゃ、このままサクッとレベルと精液搾りだして、
　アンタのこと奴隷にしちゃうね～♡』",""
"<メイドサキュバスB>
『安心しなよ♡
　死ぬまで搾ったりはしないからさ♡
　射精と一緒に契約魔術を付加するだ～けっ♡』",""
"メイドサキュバスは貴方の肉棒に、
自身のショーツをかぶせて握りしめながら、
何らかの魔術を貴方の肉棒に付加していく。",""
"<メイドサキュバスB>
『ん？家畜になったらどうなるのかって？
　にしし♡言葉通りの生活だよ。
　毎日毎日私に経験値を吸われる生活♡』",""
"<メイドサキュバスB>
『もちろん、
　ご主人様である私には絶対逆らえない♡
　……そんな惨めな家畜だけどさ、心配しなくていいよ♡』",""
"<メイドサキュバスB>
『そのうちみんなマゾに堕ちて、
　毎日の搾精を楽しみにしちゃう様になっちゃうから♡
　アンタもきっと、すぐに堕ちるだろうし♡』",""
"メイドサキュバスはニコニコと笑みを浮かべたまま、
肉棒に魔力をなじませながらゆっくりと上下に扱く。",""
"今、自身の尊厳を奪う魔術を付加されているのいうのに、
下着に覆われた肉棒は彼女のゆったりとした愛撫に、
嬉しそうに震えて反応を示してしまった。",""
"<メイドサキュバスB>
『あは♡家畜がどんなものか聞いて、
　こんなにおちんぽ反応させちゃうなんて～……
　アンタって、もしかして最初からマゾなんじゃない？♡』",""
"<メイドサキュバスB>
『よかったでちゅね～♡
　ほら、魔術の付加が終わったよ～♡
　後はぁ……アンタが射精したら契約は完成♡』",""
"<メイドサキュバスB>
『マゾにとっては、
　可愛い女の子の家畜にされるのとかご褒美なんでしょ？♡
　感謝してよね～♡シコシコ♡』",""
"メイドサキュバスはそう嘲笑を浮かべ、
本格的にショーツ越しの手コキを始める。
弱点に絡みつく指先と、擦れる布の感触は、
嫌でも貴方の興奮を高めてしまう。",""
"<メイドサキュバスB>
『え？家畜なんて嫌？
　……にしし♡嘘ばっかり♡
　無駄なる強がりはやめなよ～♡』",""
"<メイドサキュバスB>
『だって、アンタさ♡女の子の身体でもなんでもない、
　パンツ一枚で責められてるっていうのに、
　おちんぽビクビクさせてるじゃん♡』",""
"<メイドサキュバスB>
『こんな反応、
　アンタがマゾですっていう証拠でしょ～♡
　パンツで興奮しちゃう変態マ～ゾ♡』",""
"メイドサキュバスは貴方をそう罵倒しながら、
丁寧な手つきでショーツを肉棒に擦りつける。
彼女の甘いソプラノボイスによる罵倒に、
羞恥が煽られ、心臓の鼓動は早くなってしまう。",""
"確かに、下着なんかで責められて、
恥ずかしい思いをしているのに興奮してしまう…
貴方はそんな自分を認めるのが情けなく、
思わず彼女から顔を背けてしまう。",""
"<メイドサキュバスB>
『ん～？マゾって言うのやめて欲しいの？
　じゃあ、マゾって言われても、
　おちんぽ反応しなかったらやめてあげよっかな～♡』",""
"<メイドサキュバスB>
『えっちな技で負けちゃったマゾ♡
　女の子の可愛いパンツでおちんぽをくるまれて、
　ビクビク嬉しそうにしてる変態マゾ♡』",""
"<メイドサキュバスB>
『ほらほらぁ♡
　マゾって言われても気持ちよくなっちゃダメだよ～♡
　家畜にされちゃう変態マゾ♡シコシコ♡』",""
"メイドサキュバスは貴方をそう詰りながら、
肉棒に自身の下着を絡みつかせて激しく扱く。
ダメだと言われ、自分でも理解しているのに、
彼女のマゾと言う言葉に身体は反応してしまう。",""
"<メイドサキュバスB>
『やっぱり、
　マゾって言われるたびにおちんぽビクッてしちゃうね～♡
　マゾって見透かされるのがそんなに気持ちいい？』",""
"<メイドサキュバスB>
『今から家畜にされちゃうっていうのに、
　ご主人様にマゾだって馬鹿にされるのが、
　そんなに気持ちいいんでちゅかぁ～？♡』",""
"貴方をからかうようなそんなメイドサキュバスの声に、
ますます肉棒が固くなってしまう。
彼女がマゾ、というたびに脳内に快楽が走り、
思考がふわふわと混濁してしまう。",""
"<メイドサキュバスB>
『あ、ちなみにだけど♡
　私、家畜に身体を使ってあげる気はないからね～♡
　おっぱいも、お尻も、お口も♡』",""
"<メイドサキュバスB>
『つまりぃ、
　アンタはこれからず～っと、
　パンツなんかに搾り取られる運命なわけ♡』",""
"<メイドサキュバスB>
『屈辱的だよね～♡
　でも、そんな屈辱的なのにも興奮しちゃうでしょ？
　マゾってホント、扱いやすい♡シコシコ♡』",""
"快楽と羞恥に混濁した意識に彼女の言葉が響く。
まともな思考は働かず、思うがまま、
おっぱいが欲しい、パンツだけなんて嫌だと、
そう情けない言葉が口をついて出てしまう。",""
"<メイドサキュバスB>
『あは♡戦ってるときもチラチラ誘惑されて、
　物欲しそうな顔でおっぱい見てたもんね～♡
　でもだ～めっ♡パンツしか使ってあげませ～ん♡』",""
"<メイドサキュバスB>
『それが嫌なら、
　パンツなんかじゃいつまでたっても搾れないって、
　私に思わせなきゃダメだよ～♡』",""
"<メイドサキュバスB>
『ま、今までいろんな家畜の相手をして、
　そんなこと思ったこと一度もないけどね～♡
　男なんて、パンツで十分♡シコシコ♡』",""
"結果なんてわかっている、
そう言いたげにメイドサキュバスは貴方を小馬鹿にすると、
精液を搾り取る様に激しく手を上下に動かす。",""
"肉棒に絡みつき、擦りつけられる彼女の下着の感触に、
貴方の我慢は着実に削られる。
嫌だ、ダメだ、そう思っても貴方は強い快楽に屈し、
その下着に我慢汁の染みをつくってしまう。",""
"<メイドサキュバスB>
『やっぱり、ちょっと強くシコシコしただけで、
　私のパンツに恥ずかしい染みを作っちゃうじゃん♡
　アンタも例外じゃなさそうね～♡』",""
"<メイドサキュバスB>
『このまま私のパンツに負けちゃって、
　これからず～とパンツに負け続ける変態マゾ♡
　ほらほらぁ♡家畜になっちゃえ～♡シコシコ♡』",""
"メイドサキュバスは貴方の反応で限界を察すると、
トドメをさすように激しく肉棒を下着で扱く。
その搾りだすような手の動きに我慢できず、
貴方は腰を浮かしてしまう。",""
"<メイドサキュバスB>
『もう我慢できないでしょ？
　私のパンツに射精して、家畜になるって、
　おちんぽで宣言しちゃえ～♡シコシコ♡』",""
"<メイドサキュバスB>
『出た出た～♡
　パンツがドロドロになっちゃった♡
　……ん～？でもまだ、契約できてない？』",""
"<メイドサキュバスB>
『……ま、いっか♡
　どうせ後1回で家畜になるだろうし♡
　サクッともう1度搾り取っちゃえばいいだけだよね～♡』",""
"まだ家畜にならずに済んだ、
そんな落胆と安堵が入り混じった貴方の心情を無視し、
メイドサキュバスは射精直後の肉棒を激しく上下に扱く。",""
"敏感な肉棒に与えられる強い快感に、
貴方の身体は弓なりになり、口からは声が漏れてしまう。",""
"<メイドサキュバスB>
『おちんぽ、パンツでシコシコされるの、
　気持ちよくて狂っちゃいそう？
　次射精したら、こんどこそ家畜堕ちだけど♡』",""
"<メイドサキュバスB>
『アンタに耐えるなんて無理でしょ♡
　ほら、精液でどろどろのパンツで扱かれてぇ♡
　なさけな～くイっちゃえ～♡シコシコ♡シコシコ♡』",""
"メイドサキュバスの決めつけるような声が、
貴方のプライドを刺激する。
イってしまったら、こんな女の奴隷にされる……
ずっと下着なんかで搾り取られる……",""
"間違いなく嫌なはずなのに、
それでもそう考えただけで興奮し、
肉棒に血液が集まってしまう。",""
"<メイドサキュバスB>
『ほらほらぁ♡
　おちんぽどんどん固くなってきてる♡
　アンタも家畜になるのが待ちきれないんでしょ～？♡』",""
"<メイドサキュバスB>
『安心しなよ♡
　すぐに私のパンツで精液搾りだして、
　惨めな家畜に堕としてあげるからさ♡シコシコ♡』",""
"メイドサキュバスはその宣言通り、
すぐに精液を搾りだそうと肉棒を激しく扱く。
強い快楽に貴方の思考は真っ白になりながらも、
射精の先の家畜の未来が脳裏にちらつく。",""
"<メイドサキュバスB>
『にしし♡
　今更嫌だなんて言っても無駄だって♡
　おちんぽに正直になりなよ～♡』",""
"<メイドサキュバスB>
『毎日毎日経験値を私のパンツに搾り取られる日々♡
　さいてーでさいこーに気持ちいいんだし、
　マゾのアンタにとっては天国だって♡』",""
"無意識に、思わず出た貴方の小さな声での拒否を、
メイドサキュバスはそう嘲笑って肉棒を責め立てる。
その強い快楽に貴方の肉棒はすぐに限界を迎えてしまう。",""
"<メイドサキュバスB>
『ね？それにどーせ、　
　もうこのおちんぽ我慢なんてできないでしょ♡
　私のパンツにまたおもらししちゃいそうなんでしょ♡』",""
"<メイドサキュバスB>
『いいよ、ほら、出しちゃえ♡
　いやいや言っても、所詮男はおちんぽ気持ちよくなったら、
　耐えられないんだって証明しちゃえ♡マ・ゾ♡』",""
"<メイドサキュバスB>
『あは♡
　契約かんりょー♡
　これで、正式に私の家畜になっちゃったね～♡』",""
"耐えきれずに射精してしまうのと同時に、
身体が契約の魔術で縛られるのを感じる。
メイドサキュバスが言うように、
自分が家畜にされたのだと理解してしまった。",""
"その後悔と恐怖に覆われながらも、
連続射精の疲労からか、それとも契約の代償か、
意識がだんだんと薄れていく。",""
"<メイドサキュバスB>
『あ、搾り取られて眠くなっちゃった？
　お休み～♡起きてからまた改めて、
　家畜としての生活を教えてあげまちゅからね～♡』",""
"そんな彼女の言葉を聞きながら、
ついには貴方は意識を失ってしまった。",""
"<メイドサキュバスB>
『もう動けないよねー？アンタの負け♡
　ま、最初からこうなるって分かってたけど♡
　元家畜が、ご主人様に勝てるわけないじゃん♡』",""
"<メイドサキュバスB>
『それなのに、
　勝てるだなんて勘違いしちゃったおまぬけさんはぁ…♡
　しっかりお仕置きしてあげないとねー♡』",""
"<メイドサキュバスB>
『たっぷり私のパンツで調教して、
　所詮自分は女の子のパンツにすら勝てない存在なんだって、
　おちんぽで分からせてあげる♡』",""
"メイドサキュバスはそう貴方に宣告し、
肉棒をくるんだ下着を擦りつけるように上下に動かす。
それと同時に、以前の敗北と同じく、
何らかの魔術が肉棒に付加されていくのを感じる。",""
"おそらく、以前と同じ、契約の魔術……
つまり、このまま射精してしまえば、
せっかく抜け出した家畜に逆戻りさせられてしまう。",""
"<メイドサキュバスB>
『あは♡そんな緊張した顔しないでよ♡
　調教って言われて怖くなった？それとも…
　おちんぽに魔術を込められてるのが気になる？』",""
"<メイドサキュバスB>
『この前の時と全く同じ魔術だもん♡
　流石のアンタも分かるよねー♡
　…そうだよ、イったら逆らえなくなる魔術♡』",""
"<メイドサキュバスB>
『ずーっとずーっと、
　パンツでレベルと精液を搾り取られる、
　惨めな家畜になっちゃう魔術だよ♡』",""
"メイドサキュバスは丁寧な指使いで、
ショーツ越しにその魔術を肉棒に付加させていく。
指の腹でパンツの生地超しに肉棒を撫でられると、
その刺激に思わずゾクゾクと貴方の背筋は震える。",""
"家畜にされていたという記憶を起こい起こされる、
そんな魔術を肉棒に塗り込まれているのに、
肉棒を弄ぶような彼女の指先に貴方は思わず感じてしまう。",""
"<メイドサキュバスB>
『にしし♡家畜に逆戻りって言われてるのに、
　すっごいおちんぽ嬉しそうでちゅねー♡
　大切なレベルを吸われ続ける快感、思い出しちゃう？♡』",""
"<メイドサキュバスB>
『お昼に頑張ってモンスターを倒してぇ、
　経験値を手にいれてぇ…♡
　それをパンツなんかにぜーんぶ搾り取られちゃう♡』",""
"<メイドサキュバスB>
『苦労した分無駄にされちゃうのに、
　おちんぽは嬉しそうに白いのおもらしして…♡
　そんな家畜生活、幸せだったんでしょ～♡』",""
"メイドサキュバスは貴方に、
快楽漬けの日々を思い出させるように、
そう囁きながら指を下着越しに肉棒に絡ませる。",""
"彼女の甘い声色での囁きに、
家畜生活の快楽が強制的に想起させられ、
このまま流されちゃいけない、そう思っても、
貴方は自分の思考にもやがかかっていくのを感じる。",""
"<メイドサキュバスB>
『ほらほらぁ♡
　だんだん顔がとろけてきた♡
　私が見飽きた、家畜にふさわしい顔♡』",""
"<メイドサキュバスB>
『アンタはずっとそんな顔してればいいの♡
　そんな顔しながら私のパンツのことだけ考えてなよ♡
　家畜がお似合いの、変態マゾ♡』",""
"メイドサキュバスはそう囁くのと同時に、
ぴんっと指で肉棒をはじく。
裏筋にあたる瞬間的な快楽に、
貴方は思わず腰をビクンっと跳ねさせる。",""
"<メイドサキュバスB>
『はい、契約の魔術かんせー♡　
　後は、アンタをイかせるだけ…♡
　ま、すぐ終わりそうだよね♡サクッと抜いてあげる♡』",""
"<メイドサキュバスB>
『アンタの気持ちいいところ、
　ちゃーんと全部把握してまちゅからねー♡
　…ご主人様のパンツコキ、召し上がれ♡シコシコ♡』",""
"メイドサキュバスは肉棒をショーツごと握りこみ、
一体化させながらリズムカルに上下に扱き始める。
直接的な手の感触ではなく、手が上下するたびに擦れる、
彼女の下着の感触に貴方の興奮は高められてしまう。",""
"<メイドサキュバスB>
『ほらほらぁ♡
　このカリ首の部分にパンツ擦りつけられるの、
　気持ちいいでちゅよねー♡』",""
"<メイドサキュバスB>
『アンタのよっわいおちんぽで、
　後何分耐えられるかな～？♡どうせ、
　すぐパンツの中でおもらししちゃうんだろうけど♡』",""
"見透かしたような声でそう言いながら、
メイドサキュバスは貴方の弱点に指先を絡ませる。
全体にまとわりつく下着の感触に、
貴方は彼女の言う通り、すぐに屈してしまいそうになる。",""
"<メイドサキュバスB>
『あは♡気持ちよさそうにしちゃって♡
　こんな気持ちいいパンツコキしてくれるご主人様の元から、
　どうして逃げだしたりしたんでちゅか～？♡』",""
"<メイドサキュバスB>
『逃げ切れるわけないって、
　分かってたよね？ということは～♡
　こうしてもう一度、私に家畜に堕とされたかったの？♡』",""
"<メイドサキュバスB>
『イくのと同時に、
　権利も何もかもを奪われる最低の屈服射精♡
　それがもう一度味わいたかったのかな～？♡マゾ♡』",""
"的確に弱点に自身のショーツを擦りつけ、
からかうような声色でメイドサキュバスはそう告げる。
そんな彼女の言葉を否定する様に、
なんとか貴方は首を横に振る。",""
"自分は、そんな動機で逃げだしたわけじゃない、
ちゃんと先に進むために……そう心で念じて、
歯を食いしばって精一杯貴方は彼女に抵抗した。",""
"<メイドサキュバスB>
『首を横に振って、違うって言いたいの？
　でもぉ……ほら、見てよ♡
　私のパンツ、アンタの我慢汁で染み出来てる♡』",""
"<メイドサキュバスB>
『これって、アンタのおちんぽが、
　パンツの中でおもらししたいよ～って、
　なっさけなくおねだりしてるってことでちゅよね～♡』",""
"メイドサキュバスはそう言いながら肉棒を強く握り、
ラストスパートを仕掛けるように激しく上下に手を動かす。
一気に強くなった快感に頭が真っ白になり、
貴方は思わずビクンっと腰が跳ねて射精しそうになる。",""
"<メイドサキュバスB>
『はい、や～めたっ♡……今、イきそうだったよね？
　でも、もう家畜にはなりたくないんでしょ～？
　だから、やめてあげたよ♡私って優しー♡』",""
"メイドサキュバスは貴方がイく直前、
握りこんでいた握力を緩め、快感を緩める。
それでイくことができず、行き場をなくした射精の衝動は、
みっともない腰の痙攣に変わっていく。",""
"<メイドサキュバスB>
『…どうしたの？切なそうな顔しちゃって♡
　イきたくなかったんでしょ～？ほら、喜んだら？
　家畜にならずに済んだんだよ♡』",""
"…強いもどかしさはあるものの、
彼女の言う通り、これで家畜にならずに……
そうほっと息をつこうとした貴方の肉棒を握り、
再びメイドサキュバスはショーツ越しの手コキを再開する。",""
"<メイドサキュバスB>
『なんてね、そんなわけないじゃん♡
　最初に言ったでしょ～？調教してあげるって♡』",""
"<メイドサキュバスB>
『アンタが自分からパンツの中でおもらししさせてください、
　家畜にしてくださいってお願いするまで、
　えんえんパンツで寸止めしてあげる♡』",""
"<メイドサキュバスB>
『まぁ？ほんとーに家畜から抜け出したいなら、
　私が飽きるまで耐えるくらいらくしょーだよね♡
　シコシコ♡シコシコ♡』",""
"寸止め直後の激しい手コキに、
貴方は彼女の言葉を否定も肯定もできない。
ただ、情けない声を出して腰を震わせながら、
彼女の下着による愛撫に溺れることしかできなかった。",""
"<メイドサキュバスB>
『にしし♡なっさけない声♡
　たった1回寸止めされただけで、
　そんな声出ちゃうんでちゅか～♡変態♡』",""
"<メイドサキュバスB>
『この調子じゃ、
　すぐに自分からおねだりしちゃいそうだね～♡
　家畜にしてくださいって♡シコシコ♡』",""
"メイドサキュバスはくすくすと笑いながら、
精を搾り取るような激しい愛撫を続ける。
彼女の下着によって与えられる強い快感に追い詰められ、
貴方はすぐに射精しそうになり、また腰が浮いてしまう。",""
"そんな貴方の呆気ない限界を見抜き、
メイドサキュバスはぱっと素早く手を離す。
再び行き場を失った衝動やもどかしさが、
貴方の胸の内を支配してしまう。",""
"<メイドサキュバスB>
『はい、2回目～♡　
　ど～お？もう自分からおねだりしちゃう？
　そしたら、気持ちよくイかせてあげる♡』",""
"しかし、それでも、あんな日々はもう……
家畜時代を思い返し、歯を食いしばって首を横に振る。
そんな貴方の反応を気にせず、
メイドサキュバスはまた手を上下に激しく動かし始めた。",""
"<メイドサキュバスB>
『ま、流石に2回寸止めされたくらいじゃ堕ちないか♡
　でも、そろそろおちんぽはイきたいイきたいって、
　限界みたいだけどね～♡』",""
"<メイドサキュバスB>
『ほんとは射精したくてたまらないんでしょ？
　ほら、想像して♡このまま激しくおちんぽ扱かれて、
　思いっきり私のパンツの中でおもらししちゃう快感♡』",""
"<メイドサキュバスB>
『きっと、すっごい気持ちいいよ～♡
　だからぁ♡そろそろおねだりしちゃう？
　シコシコ♡シコシコ♡』",""
"メイドサキュバスの言葉に、
貴方の心をは一瞬ぐらついてしまう。
それでも何とか持ち直し、
必死に歯を食いしばって首を横に振る。",""
"しかし、連続でに寸止めに肉棒は着実に追い詰められ、
再開されたばかりなのにすぐにイきそうになってしまう。
そして、それを察知したメイドサキュバスは手を離す。",""
"<メイドサキュバスB>
『すぐイきそうになっちゃうね～♡
　おちんぽ、イきだいよ～って、
　みっともなくビクビクしてる♡』",""
"<メイドサキュバスB>
『でもだ～めっ♡
　家畜にしてくださいっておねだりするまで、
　イかせてあげませ～ん♡シコシコ♡』",""
"射精寸前の肉棒をほんの少し休ませ、
メイドサキュバスはすぐに下着で強く肉棒を擦る。
一瞬の強い快楽に肉棒は襲われ、
より一層ビクビクと震え、腰が跳ねる。",""
"<メイドサキュバスB>
『なに？ぎゅって握られて、
　パンツに包まれただけでイきそうだった？
　みっともないね～♡』",""
"<メイドサキュバスB>
『それじゃ、こうやって私のパンツ越しに、
　にぎにぎされたらどうなっちゃうのかな～♡
　にぎにぎ♡にぎにぎ♡』",""
"メイドサキュバスは肉棒を強く握り、
力を弱めるという行為を繰り返す。
たったそれだけの行為で、極限まで敏感になった肉棒は、
断続的にイきそうになってしまい、腰が震える。",""
"あと少し、後ほんの少しの上下運動で射精できる…
貴方は無意識に快楽を求めて腰を上下させるも、
メイドサキュバスは器用にそれに合わせて手を動かし、
擦れる快感を貴方には決して与えない。",""
"<メイドサキュバスB>
『腰へこへこさせてイこうとしてもダメ～♡
　ほら、イきたいならどうすればいいのか、
　忘れちゃったわけじゃないでしょ？♡』",""
"<メイドサキュバスB>
『私のパンツに中出ししたかったらぁ♡
　ちゃーんとおねだりしないと♡じゃないと、
　絶対イかせてあげないからね～♡にぎにぎ♡』",""
"メイドサキュバスは、
絶妙な力加減で肉棒に断続的な刺激を与える。
もどかしさと射精感の間で貴方の理性はとっくに崩壊し、
すでに、思考の大半は射精の欲求に埋め尽くされている。",""
"<メイドサキュバスB>
『ほら、おねだり……しちゃえ♡変態マ・ゾ♡』",""
"そんな中、彼女の甘い命令が脳に浸透し、
思わず家畜にしてくださいと口を開いておねだりしてしまう。
その言葉を聞いたメイドサキュバスは嘲笑を浮かべ、
肉棒を握って下着越しに激しく上下に扱く。",""
"<メイドサキュバスB>
『あは♡イきたくないって言ってた癖に呆気ないでちゅね～♡
　いいでちゅよー♡女の子のパンツには勝てない、
　そう実感しながら………イっちゃえ♡家畜♡シコシコ♡』",""
"彼女の激しい愛撫に、
堰を切ったように大量の精液が噴出する。
焦らしに焦らされた結果か、その濃度から、
契約の魔術は1回の射精で成立してしまった。",""
"<メイドサキュバスB>
『うん、これでアンタは私の家畜に逆戻り♡
　でもぉ……逃げ出した悪い家畜には、
　お仕置き続行～♡パンツ越しに、シコシコ♡』",""
"<メイドサキュバスB>
『契約の魔術、上塗りしてあげる♡
　普通ならさっきので終わりなんだけどぉ♡
　さらに続けちゃうとぉ…♡』",""
"<メイドサキュバスB>
『私がシコシコするたびに、
　逆らっちゃダメだって強制的に思わされちゃうでしょ♡
　にしし♡ここからが本当のお仕置き♡』",""
"射精直後の肉棒を責められると、彼女の言う通り、
強制的に快楽と紐づけられた隷属の意識が浮かんでくる。
その隷属の意識によって快感は増幅され、
貴方は気が狂いそうな程の快楽の奔流に呑まれてしまう。",""
"<メイドサキュバスB>
『本当はこれ、
　サキュバス様にやっちゃダメって言われてるんだけど～♡
　逃げ出した家畜に使うくらいなら、許してくれるでしょ♡』",""
"<メイドサキュバスB>
『ほらほらぁ♡気持ちいい？
　シコシコできょうせー的に服従させられるの、
　どうしようもないくらい気持ちいいでしょ♡』",""
"<メイドサキュバスB>
『そのまま私のパンツで心を塗り替えられる快感に溺れて、
　二度と私から逃げられない様になっちゃいまちょうね～♡』",""
"彼女の下着越しの愛撫により、
心を塗り替えられることに強い快感を想起させられる
もはや何も考えられず、処理能力を超えた快感に、
ただただ流されるだけの人形になってしまう。",""
"<メイドサキュバスB>
『にしし♡いい感じに馬鹿になってるね♡
　それじゃ、今から本格的に心を作り変えちゃうよ～♡
　……アンタは、私に服従するのが大好きなマゾ♡』",""
"<メイドサキュバスB>
『ほら、シコシコと一緒に囁いて脳に刷り込んであげる♡
　私の家畜として生きるのは気持ちいい♡
　私にすべてを奪われるのは気持ちいい♡』",""
"快楽で無防備な貴方の脳に、
彼女の甘い囁きは毒の用にしみこんでしまう。
それらは隷属の意識と混ざり合い、
徐々に貴方の精神を犯していく。",""
"<メイドサキュバスB>
『あは♡おちんぽビクビクしてる♡
　こうやって囁かれたら、私に従うの、私に服従するの、
　狂っちゃうくらい気持ちよくなっちゃうよねー♡』",""
"<メイドサキュバスB>
『でも、これも逃げ出したアンタが悪いんだよ♡
　逃げ出したりしなければ、
　せめて意識だけでも辛うじて人間のままでいられたのに♡』",""
"メイドサキュバスは残酷にそう笑いながら、
激しく肉棒を下着越しに扱き、貴方を快楽で洗脳していく。
その強い快楽にあなたの肉棒はすぐに限界を迎え、
びくびくと彼女の下着の中で震えてしまう。",""
"<メイドサキュバスB>
『ま、今更後悔しても遅いけど♡
　もうすぐにでもイっちゃいそうでしょ？
　…………完全な家畜に堕としてあげる♡』",""
"<メイドサキュバスB>
『ほら、イっちゃえ♡イけ♡
　射精して、私に従うことしか考えられない、
　ただの家畜になっちゃえ～♡シコシコ♡』",""
"貴方は身体を弓なりにそらせて、
大量の白濁液を再び彼女の下着の中にぶちまけてしまう。",""
"<メイドサキュバスB>
『あ～あ♡イっちゃった♡
　すっごい気持ちよかった？
　こんなの味わったら、廃人になっちゃうよね♡』",""
"<メイドサキュバスB>
『でもこれでもう、
　二度と逃げようとは思えなくなったでしょ♡
　大丈夫、責任もって私がずっと飼ってあげるからね～♡』",""
"混濁した意識の中、
貴方は最後に彼女のそんな言葉を聞く。
植え付けられた彼女への強い服従心に囚われながら、
貴方はそのまま意識を失ってしまった。",""
"そして、それからはもう二度と彼女に逆らうことが出来ず、
惨めな家畜としての人生を送ることになってしまった……",""
"”3層にて遠見可憐と戦う”","Fight Enmi Karen on the third floor."
"遠見可憐（サキュバス）と戦闘を行いますか？","Fight Enmi Karen (Succubus)?"
"<可憐>
『私と\n[1]君、どっちの方が強いのか…
　最後の勝負、決着ついちゃったね♪
　私の勝ちだよ♡』",""
"<可憐>
『それじゃ、負けた\n[1]君には…
　このまま私の家畜になってもらおっか♡
　おちんちんに契約の魔術、付加しちゃうね♪』",""
"可憐はそう言いながら、
魔力を込め、蜜壺の中の肉棒に魔術を付加していく。
甘い感触により塗り込まれるその魔術は、
貴方の後悔と悔しさをつのらせていく。",""
"これは、システムに強制されたことではない…
それなら、会話を交わしたことがある彼女なら、
もしかしたら見逃してくれるのではないか…
そんな考えから貴方は口を開いてしまう。",""
"<可憐>
『え？お願いだから見逃して欲しい？
　…ふふ♡そうだよね、いくら負けたからって、
　このまま家畜に堕とされちゃうなんて嫌だよね♪』",""
"<可憐>
『でもごめんね？
　私はサキュバス様の考えにもう賛同したの。
　知らない仲じゃないからって、見逃せないよ♡』",""
"<可憐>
『\n[1]君には惨めな家畜として、
　街のため、みんなのため、精液を搾り取られてもらうね♡
　大丈夫、ちゃんと気持ちよくしてあげるから♪』",""
"みんなのため…それは聞こえはよくても、
実際に犠牲となる家畜になるなんてたまったものではない、
貴方は必死に彼女に懇願する。",""
"<可憐>
『何回お願いしてもダメ♡
　そんなに家畜になるのが嫌だったんなら、
　私に負けなきゃよかったんだよ？』",""
"<可憐>
『最初から負けたら家畜にされるって分かってたのに、
　おちんちん気持ちよくなって我慢できなくなって、
　情けなくイっちゃったのは\n[1]君なんだからね？♡』",""
"可憐はくすくすと笑みを浮かべながら、
貴方をたしなめるようにそう言葉を投げかけ、
軽く腰をグラインドさせて魔術を肉棒になじませる。",""
